id_founder,id_company,general_location,manager_exp,clevel_exp,engineering_exp,sales_exp,finance_exp,human_capital_exp,marketing_exp,consulting_exp,founder_exp,abroad_experience,worked_on_plus100_company,software_exp,insurance_exp,agriculture_related_deg,business_deg,entreprenueurship_deg,financial_deg,marketing_deg,maths_engineering_deg,project_management,research,sales,soft_skills,software_skills,foundation_year,years_of_experience_as_entreprenuer,age_of_first_entrepreneurship,age,years_of_experience,number_of_startups,gender,category,foreing_studies,foreing_work_experience,foreing_founder
1,7,"Ciudad de México, México",1,1,0,0,0,0,,0,1,,,0,,,1,1,0,1,1,1,1,0,1,1,2008,0,19,31,13,4,M,Cadena de suministro digital,,,
2,23,"Ciudad de México, México",0,1,0,0,0,0,,0,1,,,0,,,1,1,0,1,0,1,0,1,1,0,2010,0,21,31,11,2,M,Cadena de suministro digital,,,
3,141,México,0,1,0,0,0,0,,0,,1,0,,,1,1,1,0,1,0,1,1,0,1,,,,,27,6,0,M,,,,
4,152,"Ciudad de México, México",0,0,0,0,1,0,,1,1,,,0,,,1,1,0,1,0,1,0,0,1,0,2012,1,23,31,10,3,M,Recursos Humanos y compromiso de las personas,,,
5,155,México,1,1,0,0,0,0,,0,,0,0,,,1,1,1,1,1,0,1,0,0,1,,2010,5,22,32,16,2,M,,,,
6,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,
7,185,"Ciudad de México, México",0,0,0,0,0,0,,0,1,,,0,,,0,1,1,0,0,0,0,0,0,0,2008,7,28,40,20,3,M,ERP y Finanzas,,,
8,233,"Ciudad de México, México",1,1,0,0,0,0,,1,1,,,0,,,1,1,1,0,0,0,0,0,1,0,2013,10,31,38,18,3,F,Recursos Humanos y compromiso de las personas,,,
9,1799,,1,1,1,0,0,0,,,1,,,,1,,1,0,0,1,0,0,0,1,1,,2013,25,54,61,27,1,M,,,,
10,284,"Ciudad de México, México",0,0,0,0,1,0,,0,1,,,0,,,0,0,0,0,0,0,0,0,1,0,2016,2,24,28,7,1,M,Cadena de suministro digital,,,
11,307,México,0,1,0,0,0,0,,0,,0,0,,,1,1,1,1,1,0,0,0,1,1,,2015,0,23,28,6,1,M,,,,
12,308,"Washington, District Of Columbia",1,1,0,1,0,0,,0,,1,1,,,0,0,0,0,0,0,0,0,0,0,,2011,8,29,38,18,2,F,,,,
13,309,"Benito Juárez, Ciudad de México, México",1,1,0,0,0,0,,1,1,,,0,,,1,0,1,1,0,1,1,1,1,0,2011,7,25,34,17,0,F,CRM y experiencia de cliente,,,
14,326,,0,1,1,0,0,0,,,1,,,,0,,0,1,0,0,0,1,0,0,1,,2013,6,28,35,11,1,M,,,,
15,343,México,1,1,1,0,0,0,,0,,1,0,,,1,1,1,1,1,0,1,1,1,1,,2010,9,24,34,20,1,M,,,,
16,355,México,0,1,0,0,0,0,,0,,0,0,,,0,1,1,1,1,0,0,0,1,1,,2015,2,23,28,8,3,M,,,,
17,393,,1,1,1,0,1,0,,,1,,,,0,,1,1,1,1,0,1,1,0,0,,2015,7,34,39,21,1,M,,,,
18,413,México,0,0,0,0,0,0,,0,1,,,0,,,0,0,0,0,0,0,0,0,0,0,2016,3,24,28,8,1,M,ERP y Finanzas,,,
19,423,México,1,1,0,0,0,0,,0,,1,1,,,1,1,1,0,1,0,1,1,0,1,,2012,5,21,29,14,2,M,,,,
20,425,México,0,1,0,0,0,0,,0,,1,0,,,1,1,1,0,1,0,1,1,0,1,,2007,5,25,38,19,2,M,,,,
21,429,"Área metropolitana de Guadalajara, México",1,1,0,0,0,0,,0,1,,,0,,,1,1,0,1,1,1,1,1,1,1,2016,16,40,44,21,1,M,CRM y experiencia de cliente,,,
22,445,México,1,1,0,0,0,0,,0,,1,0,,,1,1,1,0,1,0,1,1,1,1,,2010,3,21,31,14,3,M,,,,
23,445,México,1,1,0,0,0,0,,0,,1,0,,,1,1,1,0,1,0,1,1,1,1,,2010,3,21,31,14,3,M,,,,
24,453,Estados Unidos,1,1,1,0,0,0,,1,,1,1,,,1,1,1,0,1,0,0,0,1,1,,2016,8,39,43,13,1,M,,,,
25,487,México,0,1,0,0,0,0,,1,,1,0,,,1,1,1,1,1,0,1,1,1,1,,2011,4,27,36,14,2,M,,,,
26,492,"Monterrey, Nuevo León, México",0,0,0,0,0,0,,0,1,,,1,,,0,0,0,0,0,0,0,0,0,0,2009,1,24,35,13,2,M,ERP y Finanzas,,,
27,537,Canadá,1,0,1,0,0,0,,0,,1,0,,,1,1,1,0,1,0,0,0,1,1,,,,,44,20,0,M,,,,
28,537,México,1,0,1,0,0,0,,0,,1,0,,,1,1,1,0,1,0,0,0,1,1,,,,,44,20,0,M,,,,
29,537,México,1,0,1,0,0,0,,0,,1,0,,,1,1,1,0,1,0,0,0,1,1,,,,,44,20,0,M,,,,
