id_company,round_year,round_amount,support_company,manufacture_equipment,develop_new_tech,grow_company,add_new_services,develop_business,financial_banking,develop_products_services,marketing_strategies,expand_internationality,consolidate_company,increase_team
A,2020,"$10,000.00",0,0,0,0,0,0,0,0,0,0,0,0
A,2021,"$12,400,000",0,0,0,1,0,0,0,0,0,0,0,0
B,2016,"$170,000",0,0,0,0,0,0,0,0,0,0,0,0
C,2014,,0,0,0,0,0,0,0,0,0,0,0,0
C,2016,"$8,000,000",0,0,0,0,0,0,0,0,0,0,0,0
C,2016,,0,0,0,0,0,0,0,0,0,0,0,0
C,2016,"$50,000",0,0,0,0,0,0,0,0,0,0,0,0
C,2017,"$10,000,000",0,0,0,0,0,0,1,0,0,0,0,0
C,2014,"$1,000,000",0,0,0,0,0,0,0,0,0,0,0,0
C,2019,"$2,500,000",0,0,0,0,0,0,0,0,0,0,0,0
C,2018,"$10,454,783",0,0,0,0,0,0,0,0,0,0,0,0
C,2018,"$25,000,000",0,0,0,1,0,0,0,0,0,0,0,0
C,2019,"$250,000,000",0,0,0,0,0,1,1,0,0,0,0,0
C,2019,"$100,000,000",0,0,0,1,0,0,0,0,0,0,0,0
C,2020,"$58,800,000",0,0,0,0,0,0,0,0,0,0,0,0
C,2021,"$125,000,000",0,0,0,0,0,1,0,0,0,0,0,0
C,2021,"$110,000,000",0,0,0,0,0,1,0,0,0,0,0,0
D,2019,"$3,750,000",0,0,0,0,0,0,0,0,0,0,0,0
D,2019,"$6,500,000",0,0,0,0,0,0,0,0,0,0,0,0
D,2021,"$14,000,000",0,0,0,0,0,0,0,0,0,0,0,0
E,2014,,0,0,0,0,0,0,0,0,0,0,0,0
E,2017,"$1,400,000",0,0,0,0,0,0,0,0,0,0,0,0
E,2015,"$400,000",0,0,0,0,0,0,0,0,0,0,0,0
E,2016,"$1,000,000",0,0,0,0,0,0,0,0,0,0,0,0
E,2020,"$1,600,000",0,0,0,0,0,0,0,0,0,0,0,0
E,2020,"$150,000",0,0,0,0,0,0,0,0,0,0,0,0
F,2019,"$500,000",0,0,0,1,0,0,0,0,0,0,0,0
G,2011,,0,0,0,0,0,0,0,0,0,0,0,0
G,2013,"$240,000",0,0,0,0,0,0,0,0,0,0,0,0
G,2014,"$680,000",0,0,0,0,0,0,0,0,0,0,0,0
H,2015,"$2,500,000",0,0,0,0,0,0,0,0,0,0,0,0
H,2015,"$700,000",0,0,0,0,0,0,0,0,0,0,0,0
I,2012,"$50,000",0,0,0,0,0,0,0,0,0,0,0,0
J,2016,"$120,000",0,0,0,0,0,0,0,0,0,0,0,0
J,2019,"$1,933,000",0,0,0,1,0,0,0,0,0,0,0,0
K,2012,"$40,000",0,0,0,0,0,0,0,0,0,0,0,0
